ID;Deal ID;Spatial accuracy level;Location;Point;Facility name;Location description;Comment on location
HsrisxMv;7724;Administrative region;Чуднівський район, Житомирська область, Україна;49.93685,28.11449;;;1588 (12,4% out of all) lease agreement in Zhytomyr region. 
ZXCOcbI8;7724;Approximate location;Обухівський район, Київська область, Україна;50.13726,30.6334;;;350 (2,83% out of all) lease agreement in Kyiv region
hPJQ9oCi;7724;Administrative region;Благовіщенський район, Кіровоградська область, Україна;48.28415,30.26065;;;200 (1,62% out of all) lease agreement in Kirovograd region
49TAlzTN;7724;Administrative region;Старосинявський район, Хмельницька область, Україна;49.62071,27.62788;;;1588 (12.84% out of all) land lease in Kmelnytskyi region
49Qi8mCm;7724;Approximate location;Рижавка, Черкаська область, Україна;48.54288,30.13858;;;
Br5nQIq3;7729;Exact location;Вересочь, Черниговская область, Украина, 16341;51.31224,31.77935;Arable land - exact land plot;;"Cadastral number - 7422781000:02:001:0325.  Size - 2.5413 ha. Owner - is not specified. Date of State registration of lease, right - 29.08.2019. Monetary valuation  -  51476.49 hrn (dated from 10.06.2019). Under the issued decision by local  government the overall leased land bank in this territory was = 41 ha (but according to the information from Public Cadastral Map not all land plots with specified cadastral numbers have been leased by Company ""Hetmanske"") link - https://newmap.land.gov.ua/?cc=3536869.597521562,6672986.860437393&z=16&l=kadastr&bl=ortho10k_all&cadnum=0523180800:02:001:0045"
EUs0nN3c;7729;Exact location;Хибалівка, Черниговская область, Украина;51.34111,31.85736;Arable land - exact land plot;;"Cadastral number - 7422787500:01:002:0640.  Size - 1.7606. Owner - is not specified. Date of State refistration of lease right - 22.08.2019 . Monetary valuation - 47125.65 hrn( dated by 30.05.2019).Under the issued decision by local  government the overall leased land bank in this territory was arable land = 90 ha, pasture = 56 ha, hayfields = 21ha (but according to the information from Public Cadastral Map not all land plots with specified cadastral numbers have been leased by Company ""Hetmanske"") link - https://newmap.land.gov.ua/?cc=3543719.40996737,6679468.19873766&z=16&l=kadastr&bl=ortho10k_all"
wPtGye5o;7729;Exact location;Дрімайлівка, Черниговская область, Украина;51.2661,31.85473;Arable land - exact land plot;;"Cadastral number - 7422783500:02:002:0490.  Size - 1,9479. Owner - is not specified. Date of State refistration of lease right - 16.08.2019 . Monetary valuation - 56951.95 hrn( dated by 27.05.2019).  Under the issued decision by local  government the overall leased land bank in this territory was = arable land = 88 ha, hayfields = 28 ha, pasture = 94 ha (but according to the information from Public Cadastral Map not all land plots with specified cadastral numbers have been leased by Company ""Hetmanske""). link - https://newmap.land.gov.ua/?cc=3541063.84595269,6669359.27552017&z=16&l=kadastr&bl=ortho10k_all"
H7kt237F;7731;Approximate location;Вулкенешть, Молдова;45.68322,28.39905;;;
Reml784C;7734;Administrative region;Kaduna, Nigeria;10.51046,7.41651;;;Situated in Kaduna,North-East of Nigeria
KJqvvl46;7738;Exact location;Максимільянівка, Донецька область, Україна, 85622;47.97441,37.39703;Arable land - exact land plot;;One of the land plots leased by the Company. Cadastral number - 1423385000:03:000:0882. Size - 5.14 ha. Data of state registration of lease right - 04.02.2020. Monetary valuation of the land plot - 98820.76 hrn (dated by 21.11.2019). link https://newmap.land.gov.ua/?cc=4166076.4531054823,6100816.013358016&z=15&l=kadastr&bl=ortho10k_all&cadnum=1423385000:03:000:0882
XRXtZQBb;7738;Exact location;Кам'янка, Луганська область, Україна;49.15009,38.80567;Arable land - exact land plot;;One of the land plots leased by the Company. Cadastral number - 4423382500:10:001:0055. Size - 6.0261 ha. Data of state registration of lease right - 24.05.2018, but under the information from Public Cadastral Map 28.01.2015, the lease right of this land plot was registered to LLC named  Engelsa. Monetary valuation of the land plot - 24105.42 hrn (dated by 01.07.1995). link https://newmap.land.gov.ua/?cc=4376784.01340524,6389258.19473133&z=16&l=kadastr&bl=ortho10k_all&cadnum=4423382500:10:001:0055
O9U7oXX-;7738;Exact location;Придніпровське, Дніпропетровська область, Україна;47.61832,34.45176;Arable land - exact land plot;;One of the land plots leased by the Company. Cadastral number - 1222986000:01:017:1096. Size - 0.19  ha. Data of state registration of lease right - 12.12.2014.  link https://newmap.land.gov.ua/?cc=3835476.49401603,6044711.71555439&z=16&l=kadastr&bl=ortho10k_all&cadnum=1222986000:01:017:1096
tggmWAev;7738;Exact location;Голубівка, Дніпропетровська область, Україна;48.88359,35.31812;Arable land - exact land plot;;One of the land plots leased by the Company. Cadastral number - 1223282000:02:005:0085. Size -5.36  ha. Data of state registration of lease right - 22.01.2020.  link https://newmap.land.gov.ua/?cc=3923288.24951304,6255596.11125342&z=16&l=kadastr&bl=ortho10k_all&cadnum=1223282000:02:005:0085
zwUECdLG;7738;Exact location;Новостепанівка, Дніпропетровська область, Україна;48.83847,35.43004;Arable land - exact land plot;;One of the land plots leased by the Company. Cadastral number - 1223284500:01:030:0101. Size -6.31 ha. Data of state registration of lease right - 22.01.2020.  link https://newmap.land.gov.ua/?cc=3941270.99813468,6259748.04874742&z=16&l=kadastr&bl=ortho10k_all&cadnum=1223284500:01:030:0101
qEa7Ijk0;7738;Exact location;Новоукраїнка, Донецька область, Україна;47.83847,37.10491;Arable land - exact land plot;;One of the land plots leased by the Company. Cadastral number - 1423385800:06:000:0151. Size -9.6441 ha. Data of state registration of lease right - 22.01.2020.  link https://newmap.land.gov.ua/?cc=4132881.85010602,6089635.27194037&z=16&l=kadastr&bl=ortho10k_all&cadnum=1423385800:06:000:0151
N1i0zf_F;7738;Approximate location;Новопсковський район, Луганська область, Україна;49.67008,39.17909;;;
dUCiFAAA;7738;Approximate location;Покровський район, Донецька область, Україна;48.17798,37.07893;;;
10JQDOZR;7738;Approximate location;Мар'їнський район, Донецька область, Україна;47.89954,37.32966;;;
nxS_3dES;7738;Approximate location;Волноваський район, Донецька область, Україна;47.60488,37.38267;;;
4U3mdDfG;7738;Approximate location;Великоновосілківський район, Донецька область, Україна;47.80525,36.85074;;;
HHXxjVoU;7738;Approximate location;Запорізький район, Запорожская область, Украина;47.71855,35.08738;;;
fADblKpv;7738;Approximate location;Магдалиновский район, Днепропетровская область, Украина;48.97763,34.99089;;;
snTKZKDK;7738;Approximate location;Новомосковский район, Днепропетровская область, Украина;48.82286,35.43359;;;
ND5SvBcs;7738;Approximate location;Нікопольський район, Днепропетровская область, Украина;47.72282,34.29619;;;
DLwhpTfB;7740;Exact location;Ikun Dairy Farm, Ikun, Nigeria;8.01469,5.21123;;Location from google maps;Located in Ikun-Ekiti, in Moba Local Government Area
kLvof-vB;7741;Exact location;Новорайськ, Херсонська область, Україна, 74360;47.00951,33.48534;Arable land -exact land plot;;One of the land plots leased by the Company. Cadastral number - 6520685200:04:022:0019. Size - 4.16 ha. Data of state registration - 30.10.2019. Ownership - Private. link - https://newmap.land.gov.ua/?cc=3725674.90852687,5946670.1488347&z=16&l=kadastr&bl=ortho10k_all&cadnum=6520685200:04:022:0019
9sETqDcA;7741;Exact location;Новорайск, Херсонська область, Україна;47.00951,33.48534;Arable land -exact land plot;;"One of the land plots leased by the Company. Cadastral number - 6520685200:04:021:0001. Size - 100.53 ha. Data of state registration - 19.12.2016. Ownership - Community. Monetary valuation of the land plot -1799655.09 hrn (dated by 19.02.2019); link - https://newmap.land.gov.ua/?cc=3737190.07465044,5947851.79767353&z=15&l=kadastr&bl=ortho10k_all&cadnum=6520685200:04:021:0001"
QX9IYlL5;7741;Exact location;Тягинка, Херсонська область, Україна;46.78138,33.05238;Arable land -exact land plot;;"One of the land plots leased by the Company. Cadastral number - 6520687100:02:087:0012. Size - 33.1521 ha. Data of state registration - 07.09.2019. Ownership - Community. Under the extract from Public Cadastral Map, there are a lot of limitations on this land plot, but the information is not indicated; link - https://newmap.land.gov.ua/?cc=3681386.86975621,5906061.27443816&z=16&l=kadastr&bl=ortho10k_all&cadnum=6520687100:02:087:0012"
knh6IYqI;7741;Exact location;Чкалове, Херсонська область, Україна;46.48198,34.18324;Arable land -exact land plot;;"One of the land plots leased by the Company. Cadastral number - 6520985000:07:010:0023. Size - 8.9687 ha. Data of state registration - 21.03.2017. Ownership - Private. Monetary valuation of the land plot - 237 858.71hrn (dated 11.02.2019); link - https://newmap.land.gov.ua/?cc=3694532.48546347,5945596.5966041&z=16&l=kadastr&bl=ortho10k_all&cadnum=6520985000:07:010:0023"
wSzcHKaZ;7741;Exact location;Брускинское, Херсонська область, Україна;47.15826,33.21103;Arable land -exact land plot;;"One of the land plots leased by the Company. Cadastral number - 6520981500:06:035:0021. Size - 9.956 ha. Data of state registration - 07.06.2016. Ownership - Community. Monetary valuation of the land plot - 306859.22 hrn (dated 11.02.2019); link - https://newmap.land.gov.ua/?cc=3704927.98894933,5967002.69913118&z=16&l=kadastr&bl=ortho10k_all&cadnum=6520981500:06:035:0021"
tZzVfdg1;7741;Exact location;Львове, Херсонська область, Україна;46.79241,33.15175;Arable land -exact land plot;;"One of the land plots leased by the Company. Cadastral number - 6520683000:02:017:0040. Size - 0.5001 ha. Data of state registration - 28.04.2018. Ownership - Private; link - https://newmap.land.gov.ua/?cc=3686704.16465973,5917267.46100706&z=16&l=kadastr&bl=ortho10k_all&cadnum=6520683000:02:017:0040"
b8GkzmL2;7741;Approximate location;Берислав, Херсонська область, Україна;46.84331,33.42736;;;
zbNPLQN4;7741;Approximate location;Костирка, Херсонська область, Україна;46.98233,33.46842;;;
e0XnP9lj;7741;Approximate location;Новорайск, Херсонська область, Україна;47.00951,33.48533;;;
dlGV_rhj;7754;Administrative region;Воронезька область, Росія;50.85897,39.86444;;;
3IGU6bHV;7756;Approximate location;Заворонежское, Тамбовская обл., Росія, 393749;52.8766,40.55271;;;
pGHtN7ul;7758;Approximate location;Бєлґород, Бєлгородська область, Росія;50.59971,36.59826;;;
Ly4DflsW;7760;Approximate location;Кикинда, Сербія;45.82728,20.46152;;;The holding Topola Jsc. in the town of Kikinda, which also produces field crops at some 2.200 ha, includes a modern farm with, at present, 450 head of first-class Holstein dairy cows
vLYKcvLO;7762;Approximate location;Челарево, Сербія;45.2747,19.53068;;;
IPjauXbc;7763;Approximate location;Банатське Велике Село, Сербія;45.82664,20.59376;;;
zlosKodv;7764;Approximate location;Стара Пазова, Сербія;44.98561,20.15688;;;
M1exrgmx;7765;Approximate location;Апатин, Сербія;45.67286,18.98431;;;
aMU45bxK;7767;Administrative region;Красилівський район, Хмельницька область, Україна;49.72636,26.86524;;;
Dm6qhcQF;7767;Administrative region;Новоушицький район, Хмельницька область, Україна;48.74642,27.28634;;;
2llP0CBU;7767;Administrative region;Славутський район, Хмельницька область, Україна;50.4056,26.9816;;;
Avl5Ydui;7767;Administrative region;Шепетівський район, Хмельницька область, Україна;50.24676,27.25895;;;The data is available only on district level, without land boundaries [4]
q7bRWv8l;7768;Approximate location;Вражогрнац, Сербія;43.96959,22.31772;;;
IFo2Q3M0;7768;Approximate location;Zaječar, Сербія;43.9015,22.2738;;;
t1n0f8UY;7768;Approximate location;Halovo, Сербія;43.95949,22.36688;;;
ESkvpUvu;7768;Approximate location;Trnavačka, Zaječar, Serbia;43.89105,22.30006;;;
8l6mE3fl;7768;Approximate location;Grljan, Serbia;43.86093,22.29261;;;
ppGCv_5e;7782;Coordinates;Бечей, Сербія;45.5542,20.014;;;Contracted area polygon - fish pond location
iZ63R3vJ;7782;Approximate location;Bečej, Сербія;45.61438,20.0474;;;
8JVVdVM5;7785;Coordinates;Maboga, Tanzania;-10.45595,39.59496;;;Iringa Region, in Iringa rural District in Maboga ward and Magunga village
27S93ckw;7786;Coordinates;Nahukahuka, Tanzania;-10.44537,39.53828;Cassava Starch Tanzania Corporation;;"Based in Mtama, Nahukahuka ward at Lindi Rural District Region, southern Tanzania.
located some 40 kilometres from Lindi along the Masasi-Mtwara Highway.

shapefile polygon drawn from Google Earth Pro.

"
7-ZVaU0u;7795;Administrative region;Ліпецька область, Росія;52.52647,39.20323;;;
WQGZ83o3;7795;Approximate location;Елец, Липецкая область, Росія;52.61696,38.49743;;;
E2WwxFUi;7808;Approximate location;Нижнеломовский р-н, Пензенская обл., Росія;53.57339,43.74054;;;"2010- Nizhny Lomov district - 16092 ha in ownership; 20117ha - leased land"
ZWLIy6st;7808;Approximate location;Пачелма, Пензенська обл., Росія;53.33397,43.3149;;;Pachelma district - 6893ha in ownership.
-8OYDVAh;7808;Approximate location;Белинский, Пензенська обл., Росія;52.96747,43.41693;;;"2010- Belinsk district - 875 ha in ownership; 21457 ha - leased land;"
cNLWmInE;7809;Approximate location;Baluba, Zambia;-13.02487,28.44665;;;Located in Babula municipality,  Luanshya in the Copperbelt Province of Zambia
lKY8xKOR;7832;Coordinates;Santa Clara, Jujuy, Argentina;-24.243212,-64.636145;Finca Santa Clara;;
F6xliIbz;7839;Approximate location;Усмань, Ліпецька область, Росія;52.04399,39.72857;;;10 000 ha - according to the company film https://www.sucden.com/en/where-we-are/russia/agriculture/
gW7dukMe;7839;Approximate location;Верхняя Матрёнка, Ліпецька область, Росія;52.05205,40.1796;;;3 000 ha - according to the company film https://www.sucden.com/en/where-we-are/russia/agriculture/
5v6plOb3;7839;Approximate location;Ольховка, Липецкая область, Росія;52.20378,40.09924;;;2 000 ha - according to the company film https://www.sucden.com/en/where-we-are/russia/agriculture/
UrbXDxyn;7839;Approximate location;Демшинка, Ліпецька область, Росія;52.11668,40.32353;;;1 200 ha - according to the company film https://www.sucden.com/en/where-we-are/russia/agriculture/
-YUKaL6I;7839;Approximate location;Дурово, Ліпецька область, Росія;52.21915,40.22868;;;8 000 ha - according to the company film https://www.sucden.com/en/where-we-are/russia/agriculture/
XZhXZcA4;7839;Approximate location;Заря, Липецкая область, Росія;52.2248,38.79408;;;5 000 ha - according to the company film https://www.sucden.com/en/where-we-are/russia/agriculture/
ZWi6C5Ew;7839;Approximate location;Грязи, Ліпецька область, Росія;52.49302,39.95657;;;3 000 ha - according to the company film https://www.sucden.com/en/where-we-are/russia/agriculture/
qyjI8em6;7839;Approximate location;Тамбов, Тамбовська обл., Росія;52.73711,41.43961;;;15 000 ha - according to the company film https://www.sucden.com/en/where-we-are/russia/agriculture/
YNYyLFzF;7839;Administrative region;Ліпецька область, Росія;52.52647,39.20323;;;"There are such locations without indications on the map: Ötrada""- 7 000 ha; ""Ilicha""- 6 000 ha; ""Frunze""- 7 000 ha - according to the company film https://www.sucden.com/en/where-we-are/russia/agriculture/"
5WHbECp2;7839;Approximate location;Нестеровка, Липецкая обл., Росія;52.48794,38.31868;;;4 000 ha - according to the company film https://www.sucden.com/en/where-we-are/russia/agriculture/
5V60hQGF;7839;Approximate location;Салтычки, Ліпецька область, Росія;52.28472,40.16552;;;Saltychki barn [cows
yOciYVO9;7840;Approximate location;Свищевка, Пензенская обл., Росія, 442257;52.84239,43.76359;;;6 200ha - according to the company film https://www.sucden.com/en/where-we-are/russia/agriculture/
6g-dxQYN;7840;Approximate location;Крыловка, Пензенская область, Росія;52.85044,43.86171;;;7 300 ha - according to the company film https://www.sucden.com/en/where-we-are/russia/agriculture/
Zk-sRs6S;7840;Approximate location;Анучино, Пензенська обл., Росія;52.96685,43.87387;;;6 700 ha - according to the company film https://www.sucden.com/en/where-we-are/russia/agriculture/
C756drlV;7840;Approximate location;Кевда-вершина, Пензенська обл., Росія;53.08473,43.53694;;;9 300 ha - according to the company film https://www.sucden.com/en/where-we-are/russia/agriculture/
qQahWip2;7840;Approximate location;Головщино, Ліпецька область, Росія;52.61864,39.88776;;;5 700 ha - according to the company film https://www.sucden.com/en/where-we-are/russia/agriculture/
S-4caR-6;7840;Approximate location;Серп и Молот, Пензенская область, Росія;53.19902,44.43599;;;10 100 ha - according to the company film https://www.sucden.com/en/where-we-are/russia/agriculture/
uktAEC5Y;7840;Approximate location;Поперечное, Пензенська обл., Росія;53.02328,44.35891;;;9 400 ha - according to the company film https://www.sucden.com/en/where-we-are/russia/agriculture/
6MyytsYt;7840;Approximate location;Камєнка, Пензенська обл., Росія;53.19161,43.98567;;;Kamensky sugar factory
rnsE9pLU;7841;Administrative region;Білоглинський район, Краснодарський край, Росія;46.04513,40.99105;;;
BE1zcBcY;7841;Approximate location;Кулешовка, Krasnodar Krai, Russia;45.96033,41.09409;;The company cultivates 807 hectares of land in the area surrounding this village.;
2LH-KAHO;7845;Exact location;Троїцьке, Дніпропетровська область, Україна, 51491;48.4096,35.86624;;;All land around the village under operation by Agro KMR
wSG2gLbT;7849;Approximate location;Дубов'язівка, Сумська область, Україна, 41655;51.12964,33.37786;;;
f3osEH_F;7849;Approximate location;Гвинтове, Сумська область, Україна;51.27327,33.67633;;;
QnmEP3jm;7849;Approximate location;Великий Самбір, Сумська область, Україна;51.05961,33.13369;;;
v09DBGHD;7849;Approximate location;Духанівка, Сумська область, Україна;51.31891,33.61315;;;
3JbBpSj_;7849;Approximate location;Кузьки, Сумська область, Україна;51.29049,33.28482;;;
DyG-Jhj0;7849;Approximate location;Малий Самбір, Сумська область, Україна;51.10043,33.05156;;;
vnaq4O7e;7849;Approximate location;Підлипне, Сумська область, Україна;51.19705,33.20433;;;
t0YwgqiZ;7849;Approximate location;Салтикове, Сумська область, Україна;51.15097,33.46225;;;
YYEYZv7D;7849;Approximate location;Сахни, Сумська область, Україна;51.26879,33.36164;;;
1t_AFWdJ;7849;Approximate location;Шаповалівка, Сумська область, Україна;51.16943,33.12517;;;
m4lckb67;7906;Exact location;MANSA SUGAR LIMITED, Mansa Sugar Ltd, Chembe, Zambia;-11.9443,28.73361;Mansa Sugar Limited;;The company located in Area Kitwe, Mansa, Chembe district in  Luapala province 
iON3roJV;7907;Approximate location;Jabal Lado, South Sudan;5.09778,31.58222;;;The project has been allocated 500 hectares of land in Jebel Ladu, 37 kilometres in the outskirts of Juba city. The company also manages the Jebel Lado project on behalf of CEDASS (deal 1761).
dMMJP5d1;7907;Administrative region;Bor, South Sudan;6.21327,31.56554;;;Located in Bor, South Sudan
MNI65q-q;7907;Administrative region;Torit, South Sudan;4.41024,32.57404;;;Located in Torit, South Sudan
s4m9_Sm8;7909;Exact location;Lolito, Ghana;5.91595,0.65008;;The test farm and proposed jatropha plantation site lies between latitudes 6°10’N, 5°45’N and longitudes 30°30’W, 0°45’W;Located in Latito, close to Sogakope,in the South Tongu District of the Volta Region
O-3cZR9o;7922;Coordinates;Biru Maju, Telawang, East Kotawaringin Regency, Central Kalimantan, Indonesia;-2.34307,112.50221;;Sebabi Village, Telawang Subdistrict, Kotawaringin Timur District, Central Kalimantan, Indonesia;
kbmZSNNI;7924;Coordinates;;-2.6851,112.7112;;;Plantation visible in google earth pro at these coordinates.
OCqKtAvP;7931;Exact location;Al Wahat Al Dakhla Desert, New Valley Governorate, Egypt;22.75341,28.53242;East Oweinat;;"It appears like there are multiple companies operating in this area with a total area under production amounting to 440,000 ha. It is thus not easy to distinguish the farm operated by Al Dahra from the rest.

located in Heliopolis, Cairo, Egypt "
se53bb4L;7933;Coordinates;Nanga Bulik, Bulik, Lamandau Regency, Central Kalimantan, Indonesia;-2.339474,111.279551;;;Sagu Desa, Kecamatan Balai Riam
nTDK06hR;7933;Coordinates;;-2.418142,111.081697;;;
kBh5b7w-;7936;Coordinates;Sembuluh I, Danau Sembuluh, Seruyan Regency, Central Kalimantan, Indonesia;-2.78384,112.41181;;;
pFHZ9hl1;7938;Coordinates;الصالحية الجديدة - طريق ترعة الكسارة - أبوشابى، As Saleheyah Al Gadidah, Qesm as Salheyah Al Gadidah, Ash Sharqia Governorate, Egypt;30.67482,31.91541;Al Salheya;;"Located in As Saleheyah Al Gadidah, New Salhia, Ash Sharqia Governorate 7301601, Egypt

Shapefile polygon from Google Earth Pro"
Y-DnNjYI;7952;Coordinates;Pamukan Indah, North Pamukan, Kotabaru Regency, South Kalimantan, Indonesia;-2.3916,116.21251;;;
9K089iYl;7955;Coordinates;Baixa Grande do Ribeiro, Piauí, Brasil;-7.849356,-45.219384;Fazenda Ipê;;
9glF4-Tf;7957;Coordinates;Pekanbaru, Pekanbaru City, Riau, Indonesia;0.35168,101.77445;;;
rDmyNzVN;7973;Coordinates;Lubok Buat, Sembakung, Nunukan Regency, North Kalimantan, Indonesien;3.90411,116.81157;Palm Plantation;;
hSW1Vfkd;7982;Coordinates;;-0.52173,115.96433;;;
5urRXGCJ;7982;;;-0.42306,116.02522;;;
3FIrifiH;7982;;;-0.48587,115.83794;;;
ARgD6afO;7987;Coordinates;Hanau, Seruyan Regency, Central Kalimantan, Indonesia;0.9729,116.931;Jak Luay Estate + Long Buluh Estate;Hanau District, Seruyan Regency, Central Kalimantan,;
dZycg0f8;7987;Coordinates;;1.0159,116.9525;Pantun Mas Estate;;
t6k-faCU;7987;Coordinates;;0.8189,116.8416;Bukit Subur Estate;;
t7Hnc3YL;8008;Coordinates;Terawan, Seruyan Regency, Central Kalimantan, Indonesia;-2.4188,112.3622;;"PT Binasawit Abadi Pratama (PT BAP) is located in Terawan Village of Danau Sembuluh District, Seruyan Regency, Central Kalimantan
Province.";
JTb-evHd;8009;Coordinates;Biru Maju, East Kotawaringin Regency, Central Kalimantan, Indonesia;-2.30587,112.4204;;Located in Biru Maju, East Kotawaringin Regency, Central Kalimantan, Indonesia;
Ll1L72n1;8009;Exact location;Rungau Raya, Seruyan Regency, Central Kalimantan, Indonesia;-2.29475,112.30993;;Exact location: 112º15’00” – 112 º30’00”E - 02º20’00” – 02º12’00” S;Located in Rungau Raya, Seruyan Regency, Central Kalimantan, Indonesia
1r1pH7FS;8033;Coordinates;;-1.3625,113.4772;;;
CIG5PQBL;8034;Coordinates;;-1.4453,102.5686;;;
CKNA9bNf;8042;Exact location;Khe Sanh, Hương Hóa, Quảng Trị Province, Vietnam;16.64851,106.75804;My Anh Khe Sanh;Area North of River;
UeCgZyOr;8043;Coordinates;;4.16087,117.00699;;;
ykHTRgAx;8043;Coordinates;;4.06244,116.92794;;;
j2y0OY8b;8044;Coordinates;Rungau Raya, Hanau, Seruyan Regency, Central Kalimantan, Indonesia;-2.24681,112.29317;Palm oil plantations and palm oil processing mills;;
XzXHQaH3;8046;Coordinates;Sempurna, Sungai Laur, Ketapang Regency, West Kalimantan, Indonesia;-1.0819,110.383;Swadaya Mukti Prakarsa Kernel Crushing Plant;Address: Sempurna, Sungai Laur, Kabupaten Ketapang, Propinsi Kalimantan Barat, Indonesia;
luubvrM8;8050;Coordinates;Gunung Santua, Kuala Kuayan, Mentaya Hulu, East Kotawaringin Regency, Central Kalimantan, Indonesia;-1.981,112.36929;;;
kqmgfkGn;8055;Coordinates;Sahabu, Central Seruyan, Seruyan Regency, Central Kalimantan, Indonesia;-2.22496,112.1946;;"Seruyan Tengah Sub-District: Mugi Panyuhu, Ayawan,
Sukamandang, Teluk Bayur, Gantung Pengayuh, Derawa,
Sebabi, Durian Kait Kalang, Sandul Villages, and Hanau Sub-District: Tanjung Rangas, Tanjung Paring, Tanjung Hara Villages, Seruyan District, Central Kalimantan Province ";"112°9’33.5339” - 112°17’35.5923” E and 2°4’54.728” - 2°22’19.279” S;

112°12’15.0957” – 112 15’ 9.7151” E and 2°12’8.5722” – 2°16’32.1725” S
"
46rgNvWT;8057;Coordinates;Tukang Langit, Antang Kalang, East Kotawaringin Regency, Central Kalimantan, Indonesia;-1.85204,112.53503;;;
rUGXU0by;8059;Coordinates;;-1.738382,110.475807;;Palm Oil Plantation;Sungai Melayu Rayak District, Kab. Ketapang-West Kalimantan
xZ0I--ha;8060;Coordinates;PT. Budidaya Agrolestari, Sukamulya, Ketapang Regency, West Kalimantan, Indonesia;-2.222796,110.647542;;;Shp file taken from Greenpeace palm oil data set
gDqQ_Adx;8061;Coordinates;Sengkaharak, Tumbang Titi, Ketapang Regency, West Kalimantan, Indonesia;-1.84426,110.55015;PT. Bangun Maya Indah;;
z5F6F_Ig;8068;Coordinates;;4.07192,117.04653;;;
vJmOQALd;8068;Coordinates;;3.94636,116.78985;;;
TTdWDBut;8068;Coordinates;;4.02728,116.91266;;;
tjpntxm8;8071;Coordinates;Belaban, Marau, Ketapang Regency, West Kalimantan, Indonesia;-2.08433,110.62743;;;
H1WLxS17;8072;Coordinates;Kelampai, Manis Mata, Ketapang Regency, West Kalimantan, Indonesia;-2.168,110.89;;;Coordinate is in the center of the boundaries of the land deal (still forested area). Both to the south and north and west, there is oil palm cultivation starting- the whole area is not in operation as yet.
_PHtztO8;8077;Exact location;La Lê, Ia Le, Chư Pưh, Gia Lai, Vietnam;13.42374,108.19214;Olam Gia Lai Pepper Farm;;
vruUmH9k;8078;Coordinates;Pematang Duku;1.74425,100.63184;;;
T4oh-Cpc;8078;Coordinates;Salak;1.7477,100.57;;;
w_MuTsDs;8079;Coordinates;Kencana;1.6389,100.5885;;;
icXyDNYd;8086;Coordinates;Randai;-2.07528,110.49694;;;
vgR_RA0E;8100;Coordinates;Kenerak;0.5221,111.9363;;Semitau sub-district, Suhaid sub-district, Badau sub-district;
v5HFyBz-;8102;Exact location;Nanga Pala Village, Silat Hilir, Seberuang;0.4198,111.9755;;;
tU0us40l;8103;Exact location;Lembah Hijau Dua, Nanga Tayap, Ketapang Regency, West Kalimantan, Indonesia;-1.5723,110.4761;;Sungai Kelik Village, Nanga Tayap District, Ketapang Regency;
lBJsjtYG;8106;Coordinates;Menapar;0.5682,112.0579;;PT Kartika Prima Cipta (hereinafter referred to as “PT KPC”) is domiciled at Districts of Semitau, Suhaid, and Selimbau, Kapuas Hulu Regency, West Kalimantan.;
rbmyDocV;8112;Coordinates;;0.5161,111.8142;;;
E0rLBpen;8115;Coordinates;Baru;0.3972,111.7542;;;"Silat Hilir Sub-District, Kapuas Hulu District, West Kalimantan
Province"
11hOsTKS;8117;Exact location;Tinting Seligi, Kabupaten Kapuas Hulu, Kalimantan Barat, Indonesia;0.8848,111.86878;Oil Palm Plantation;This concession is in the Kapuas Hulu district covering 7 villages.;
I7WXlaCG;8119;Coordinates;Kekurak;0.9775,111.8953;;;
1W3PL4r_;8139;Coordinates;;-2.3517,112.617;;;
fzstpif3;8152;Coordinates;;-2.433,112.7738;;;
jlDFt7rT;8154;Coordinates;Березники, Харківська область, Україна, 62550;50.12617,36.8938;;One of the land plots of the Company. In Kharkiv region there are approximately 5477 land plots.;"Cadastral number - 6321655800:03:003:0010; size - 5,0783 ha;"
JLMppLJM;8154;Coordinates;Нечаєве, Черкаська область, Україна, 20651;48.82083,31.51316;;One of the land plots of the Company. In Cherkasy region there are approximately 693 land plots.;"Cadastral number - 7125784000:05:001:0107; Size - 3.2105 ha"
VfJ36ero;8154;Coordinates;Андріївка, Кіровоградська область, Україна, 28053;48.6376,33.22375;;One of the land plots of the Company. In Cherkasy region there are approximately 357 land plots.;"Cadastral number of one land plot - 3523884000:02:002:0124; Size - 4.1111 ha."
mQs0_Jkc;8154;Coordinates;Явкине, Миколаївська область, Україна, 56165;47.27637,32.62971;;One of the land plots of the Company. In Cherkasy region there are approximately 7 land plots.;"Сadastral number - 4820686500:04:000:0221; Size - 82.716 ha, Owner - community."
vbQW0eXA;8154;Administrative region;Богодухівський район, Харківська область, Україна;50.13162,35.54756;;Approximately 22718 ha leased ;
iwllAADO;8154;Administrative region;Баштанський район, Миколаївська область, Україна;47.31607,32.44446;;Approximately 238 ha leased;
QP3fvQpg;8154;Administrative region;Новомиргородський район, Кіровоградська область, Україна;48.79921,31.79445;;Approximately 563 ha leased;
_TNz1-9Y;8154;Administrative region;Шполянський район, Черкаська область, Україна;49.00082,31.42634;;Approximately 1300 ha leased;
hIKDtc89;8154;Approximate location;Зарічне, Харківська область, Україна;50.1023,36.84062;;;
z2R_AhJ4;8154;Exact location;;50.08996,35.81097;;https://kadastr.live/parcel/6320887500:01:001:0286;"Cadastral number 6320887500:01:001:0286
area 87.806 hectares"
Fw6tGcrj;8154;Exact location;;50.08204,35.80187;;https://kadastr.live/parcel/6320887500:01:001:0290;"Cadastral number 6320887500:01:001:0290
area 56.6728 hectares"
